,Province,Year,Quarter,Volume (metric tons),Area Harvested (ha),yield (kg/ha),Region,Fertilizer Applied (bags),Plow,Harrow,Sprayers,Tractors,Rice Mills,Agricultural Processing Facilities,Irrigated Farms,Fertilizer Dealers,Pesticides Dealers,Typhoon,Flood,Earthquake,Volcanic Eruption,Tsunami,Landslide/Mudslide,Infestation/Animal Disease,Drought,Other Disasters,rainfall_amount,rainfall_number_of_rd,temp_max,temp_min,temp_mean,temp_dry_bulb,temp_wet_bulb,temp_dew_pt,vapor_pressure_mbs,rel_hum,mslp,wind_spd_mps,cloud_amount_okta,number_of_days_with_tstm,number_of_days_with_ltng
0,Abra,1987.0,Quarter 1,325.0,240.0,1354.1666666666667,CORDILLERA ADMINISTRATIVE REGION,1.192500000000001,12112.0,10388.0,3739.0,326.0,234,280,8707,46,29,245,85,0,0,0,47,104,70,0,28.2,3.6666666666666665,24.20000000000001,13.6,18.9,17.9,16.166666666666668,15.133333333333333,17.2,84.0,1011.1,2.0,5.0,1.3333333333333333,0.3333333333333333
1,Abra,1988.0,Quarter 1,1379.0,820.0,1681.7073170731708,CORDILLERA ADMINISTRATIVE REGION,1.192500000000001,12112.0,10388.0,3739.0,326.0,234,280,8707,46,29,245,85,0,0,0,47,104,70,0,28.2,3.6666666666666665,24.20000000000001,13.6,18.9,17.9,16.166666666666668,15.133333333333333,17.2,84.0,1011.1,2.0,5.0,1.3333333333333333,0.3333333333333333
2,Abra,1989.0,Quarter 1,2416.0,1320.0,1830.3030303030305,CORDILLERA ADMINISTRATIVE REGION,1.192500000000001,12112.0,10388.0,3739.0,326.0,234,280,8707,46,29,245,85,0,0,0,47,104,70,0,28.2,3.6666666666666665,24.20000000000001,13.6,18.9,17.9,16.166666666666668,15.133333333333333,17.2,84.0,1011.1,2.0,5.0,1.3333333333333333,0.3333333333333333
3,Abra,1990.0,Quarter 1,1711.0,1020.0,1677.450980392157,CORDILLERA ADMINISTRATIVE REGION,1.192500000000001,12112.0,10388.0,3739.0,326.0,234,280,8707,46,29,245,85,0,0,0,47,104,70,0,28.2,3.6666666666666665,24.20000000000001,13.6,18.9,17.9,16.166666666666668,15.133333333333333,17.2,84.0,1011.1,2.0,5.0,1.3333333333333333,0.3333333333333333
4,Abra,1991.0,Quarter 1,1044.0,670.0,1558.2089552238806,CORDILLERA ADMINISTRATIVE REGION,1.192500000000001,12112.0,10388.0,3739.0,326.0,234,280,8707,46,29,245,85,0,0,0,47,104,70,0,28.2,3.6666666666666665,24.20000000000001,13.6,18.9,17.9,16.166666666666668,15.133333333333333,17.2,84.0,1011.1,2.0,5.0,1.3333333333333333,0.3333333333333333
5,Abra,1992.0,Quarter 1,1563.0,810.0,1929.6296296296296,CORDILLERA ADMINISTRATIVE REGION,1.192500000000001,11221.0,9987.0,9401.0,1369.0,234,280,13159,46,29,245,85,0,0,0,47,104,70,0,28.2,3.6666666666666665,24.20000000000001,13.6,18.9,17.9,16.166666666666668,15.133333333333333,17.2,84.0,1011.1,2.0,5.0,1.3333333333333333,0.3333333333333333
6,Abra,1993.0,Quarter 1,1460.0,810.0,1802.4691358024688,CORDILLERA ADMINISTRATIVE REGION,1.192500000000001,11221.0,9987.0,9401.0,1369.0,234,280,13159,46,29,245,85,0,0,0,47,104,70,0,28.2,3.6666666666666665,24.20000000000001,13.6,18.9,17.9,16.166666666666668,15.133333333333333,17.2,84.0,1011.1,2.0,5.0,1.3333333333333333,0.3333333333333333
7,Abra,1994.0,Quarter 1,1243.0,660.0,1883.333333333333,CORDILLERA ADMINISTRATIVE REGION,1.192500000000001,11221.0,9987.0,9401.0,1369.0,234,280,13159,46,29,245,85,0,0,0,47,104,70,0,28.2,3.6666666666666665,24.20000000000001,13.6,18.9,17.9,16.166666666666668,15.133333333333333,17.2,84.0,1011.1,2.0,5.0,1.3333333333333333,0.3333333333333333
8,Abra,1995.0,Quarter 1,1266.0,670.0,1889.5522388059696,CORDILLERA ADMINISTRATIVE REGION,1.192500000000001,11221.0,9987.0,9401.0,1369.0,234,280,13159,46,29,245,85,0,0,0,47,104,70,0,28.2,3.6666666666666665,24.20000000000001,13.6,18.9,17.9,16.166666666666668,15.133333333333333,17.2,84.0,1011.1,2.0,5.0,1.3333333333333333,0.3333333333333333
9,Abra,1996.0,Quarter 1,1039.0,550.0,1889.090909090909,CORDILLERA ADMINISTRATIVE REGION,1.192500000000001,11221.0,9987.0,9401.0,1369.0,234,280,13159,46,29,245,85,0,0,0,47,104,70,0,28.2,3.6666666666666665,24.20000000000001,13.6,18.9,17.9,16.166666666666668,15.133333333333333,17.2,84.0,1011.1,2.0,5.0,1.3333333333333333,0.3333333333333333
